Город,lat,lon
Абаза,52.6510546,90.101159
Агидель,55.899276,53.9374202
Алатырь,54.84582955,46.562748428457304
Александровск-Сахалинский,50.8974983,142.1591667
Алексин,54.5028103,37.0667213
Алзамай,55.554956,98.6654191
Алушта,44.72387885,34.369998970880125
Анадырь,64.7316875,177.5060925
Анапа,44.894272,37.316887
Ангарск,52.5443167,103.8882138
Арзамас,55.3987879,43.8210933
Архангельск,64.543022,40.537121
Бабаево,59.3887129,35.9499951
Барабинск,55.3567611,78.350348
Барыш,53.6540758,47.1013737
Белогорск,50.921326,128.47287
Белокуриха,51.9994856,84.9860861
Березовский,55.6696946,86.275154
Бирюч,50.65234985,38.40550244400589
Бобров,51.0967999,40.0307798
Бодайбо,57.8499525,114.2039967
Бокситогорск,59.4729021,33.8489952
Болохово,54.085094,37.829109
Большой Камень,43.1121194,132.3509104
Бородино,55.9,94.89365
Бузулук,52.788502,52.253899
Буй,58.4816821,41.532956
Буйнакск,42.8260906,47.1219624
Бутурлиновка,50.79605,40.601910859179554
Великий Новгород,58.5209862,31.2757862
Верхний Тагил,57.3745174,59.9320798
Ветлуга,57.85287,45.7757157
Вихоревка,56.124722,101.171951
Волгодонск,47.5412272,42.22788957160185
Волгореченск,57.440105,41.157181
Волжск,55.8636579,48.3618598
Володарск,56.224304,43.182655
Волхов,59.9275868,32.3276803
Воркута,67.5035662,64.0627028
Всеволожск,60.024006,30.646042
Вуктыл,63.844337,57.300171
Вытегра,61.006498,36.4514921
Гаврилов Посад,56.5585501,40.1205669
Глазов,58.1401196,52.6464388
Городец,56.647141,43.476002
Городовиковск,46.082851,41.934269
Гороховец,56.20657,42.679035
Грязи,52.49612,39.955162
Губаха,58.842407,57.555058
Губкинский,64.4337824,76.4898086
Гудермес,43.35696145,46.10078636190259
Гусев,54.5921685,22.2014752
Гусь-Хрустальный,55.6149968,40.6708665
Десногорск,54.1516661,33.2881028
Джанкой,45.7119746,34.3927394
Дзержинск,56.2382157,43.4617405
Дигора,43.16,44.15847
Дмитриев,52.12849,35.075439
Долинск,47.3241456,142.7979361
Евпатория,45.2138576,33.3716642
Егорьевск,55.3829765,39.0356223
Елец,52.6219865,38.5003298
Елизово,53.1864972,158.3836712
Ессентуки,44.0470042,42.8576575
Ефремов,53.141834,38.116188
Железногорск,56.250938,93.53286
Жердевка,51.843933,41.470367
Завитинск,50.111154,129.4402341
Заволжск,57.4909934,42.13964
Зеленоградск,54.9600365,20.4750188
Иваново,56.9984452,40.9737394
Инта,66.0401498,60.1313631
Ирбит,57.674042,63.063778
Ишим,56.1092126,69.457152
Калач,50.4259519,41.0161721
Калач-на-Дону,48.6818764,43.5379998
Калининск,51.499947,44.484581
Камбарка,56.2652515,54.1945613
Каменск-Уральский,56.415451,61.917797
Каменск-Шахтинский,48.3210807,40.2650679
Камышин,50.0808422,45.4048003
Камышлов,56.846161,62.712154
Карабаново,56.3084431,38.6981274
Карабулак,43.3094909,44.910334
Карасук,53.73447,78.032372
Карачаевск,43.7715594,41.911979
Каспийск,42.8881414,47.6424676
Катайск,56.2834992,62.5836525
Кашира,54.837449,38.1505119
Кемь,64.9550895,34.5697446
Керчь,55.9357049,87.3814773
Кизилюрт,43.1999049,46.8713343
Кимры,56.8734395,37.3556968
Кинель,53.219738,50.633228
Киржач,56.1592229,38.8721255
Кировград,57.4264892,60.0664537
Кировск,59.8813954,30.9855331
Клинцы,52.758511,32.240097
Козельск,54.037102,35.780102
Кола,68.880638,33.019726
Коломна,55.0938743,38.7670121
Корсаков,46.632815,142.7810147
Костерево,55.9287862,39.6201571
Котельнич,58.3053524,48.3372596
Кохма,56.9315448,41.0939402
Красавино,60.9617195,46.4778243
Краснодар,45.0351532,38.9772396
Краснокаменск,50.096992,118.041344
Краснослободск,48.7039046,44.5557953
Красноуфимск,56.6180735,57.7713452
Красный Кут,50.9459056,46.972462
Кстово,56.149551,44.198032
Кулебаки,55.429287,42.511879
Курлово,55.4550805,40.6106078
Куртамыш,54.9095859,64.4283925
Кызыл,51.719079,94.4300679
Ладушкин,54.5712666,20.1734409
Лахденпохья,61.5179265,30.2038927
Ленинск-Кузнецкий,54.665443,86.166115
Лермонтов,44.1050468,42.9731466
Липки,53.9402404,37.7018766
Лиски,50.9873813,39.4972321
Лысьва,58.09963345,57.796450638987736
Лянтор,61.622494,72.165138
Магас,43.1666497,44.8048191
Магнитогорск,53.4242184,58.983136
Мглин,53.0591919,32.8500077
Медвежьегорск,62.915024,34.473339
Медногорск,51.4049435,57.5803138
Медынь,54.969,35.857
Мещовск,54.3207145,35.2796334
Миасс,55.0505685,60.1087125
Мирный,62.541077,113.978584
Михайловка,50.0797109,43.2342365
Могоча,53.7362642,119.7624853
Москва,55.625578,37.6063916
Муравленко,63.7947977,74.4969322
Набережные Челны,55.7419774,52.399207
Навашино,55.544071,42.188671
Наволоки,57.4737882,41.962231
Назрань,43.2320774,44.7540128
Называевск,55.564896,71.349365
Невинномысск,44.6245814,41.9475941
Неман,55.0359656,22.0293578
Нефтекамск,56.0884031,54.2478094
Нижние Серги,56.6619,59.30003
Нижняя Салда,58.071352,60.7146772
Николаевск-на-Амуре,53.138729,140.72493
Никольск,53.714596,46.085175
Новая Ладога,60.1052425,32.3147626
Новоалтайск,53.393341,83.939407
Новоаннинский,50.529675,42.667362
Новодвинск,64.419212,40.793793
Новокуйбышевск,53.099243,49.948364
Новотроицк,51.196369,58.298527
Новохопёрск,51.095146,41.616955
Новочебоксарск,56.1140023,47.4870341
Новочеркасск,47.41066,40.101986
Новошахтинск,47.7558886,39.935987
Нягань,62.1445646,65.4349289
Облучье,49.0145149,131.0538038
Октябрьский,54.4809722,53.4660062
Оренбург,51.7671248,55.0978517
Отрадное,59.772663,30.802027
Отрадный,53.376175,51.348053
Оха,53.5891992,142.9496845
Павловск,59.684853,30.433264
Партизанск,43.1406647,133.1433137
Пенза,53.1953477,45.0190437
Переславль-Залесский,56.7367178,38.8462714
Петропавловск-Камчатский,53.0199838,158.6471356
Петушки,55.929801850000004,39.4508310119064
Плес,51.291233,47.7771137
Покров,55.9151547,39.16632666876916
Полевской,56.442108,60.165859
Полысаево,54.603142,86.276024
Почеп,52.92878,33.454536
Приволжск,57.380333,41.281178
Пучеж,56.9820977,43.168062
Пущино,54.8347213,37.6139685
Райчихинск,49.796788,129.4030842
Реж,57.370647,61.4042865
Реутов,55.7622453,37.856555
Ртищево,52.2599057,43.7877429
Рыльск,51.570538,34.683506
Саранск,54.18671,45.18383
Сарапул,56.477334,53.8192957
Саяногорск,53.0899015,91.4128377
Саянск,54.1123301,102.1785158
Светлый,54.673355,20.131153
Светогорск,61.1112542,28.8701036
Семилуки,51.690403,39.022186
Серафимович,49.580608,42.730164
Сергач,55.532822,45.4616976
Сертолово,60.143707,30.207806
Слободской,58.7277816,50.1771234
Советск,55.0809688,21.8882673
Сокол,55.8050063,37.5056244
Соликамск,59.649437,56.779594
Сольвычегодск,61.331333,46.918938
Сортавала,61.70274,30.691231
Спасск,44.5980135,132.815701
Среднеуральск,56.991631,60.46888
Старый Крым,45.03339285,35.09667583036527
Сунжа,43.3134582,45.0506114
Сурск,53.072903,45.686054
Сызрань,53.15538,48.474121
Сысерть,56.5030175,60.8093215
Таганрог,47.2392184,38.87550310009352
Тара,56.902587,74.3698652
Тобольск,58.1998048,68.2512924
Тольятти,53.5149884,49.4073316
Томск,56.4887526,84.9523434
Тотьма,59.9736254,42.7587335
Туринск,58.0525487,63.6908787
Тюкалинск,55.870556,72.196617
Уварово,51.989845,42.258396
Удомля,57.877998,35.0042
Узловая,53.978512,38.160255
Ульяновск,54.3150278,48.403373
Урюпинск,50.7970972,42.0051866
Усть-Джегута,44.0858961,41.9722557
Усть-Илимск,57.959473,102.734192
Усть-Катав,54.9308,58.17484
Уфа,54.7261409,55.947499
Фролово,49.7645711,43.6539516
Фурманов,57.248756,41.10923
Химки,55.8917293,37.4396994
Холмск,47.0545875,142.0487125
Чебоксары,56.1307195,47.2449597
Черкесск,44.2285229,42.048257
Чулым,55.09,80.970459
Шарыпово,55.5329127,89.1864204
Шимановск,51.9987022,127.6719156
Шлиссельбург,59.940431,31.0336955
Шуя,56.8558465,41.3838496
Щекино,54.004465,37.5179079
Щигры,51.870821,36.9131896
Электрогорск,55.8792983,38.7858721
Электросталь,55.7903785,38.4405711
Югорск,61.3149709,63.3315999
Юрьев-Польский,56.4971948,39.67864
Юхнов,54.7415766,35.2264393
Якутск,62.0274078,129.7319787
Ялта,53.4784578,38.0320458
Ялуторовск,56.654934,66.312752
Ярославль,57.6263877,39.8933705
Ясногорск,54.4792708,37.693329
